TAXON	12S.5June	ALDOB_Hackettetal2008	CLTC_Hackettetal2008	CMOS.26May	COI.26May	COII.Cl181.Final_18May2011	CRYAA_Hackettetal2008	CytB.Cl1.Final_18May2011	EEF2_Hackettetal2008	EGR1_Hackettetal2008	EGR1exon_Hackettetal2008	FGBint4_Hackettetal2008	FGBint5_Hackettetal2008	FGBint67_ALL	GH1_Hackettetal2008	HMGN2_Hackettetal2008	IRF2_Hackettetal2008	MB_Hackettetal2008	MUSK_Hackettetal2008	MYC_Hackettetal2008	ND2.Cl6.Final_18May2011	ND3.26May	ND4.26May	NGF_Hackettetal2008	NTF3_Hackettetal2008	ODC_Ericson_etal	PCBD1_Hackettetal2008	RAG1.Final_18May2011	RAG2.26May	RHO_Hackettetal2008	TGFB2_Hackettetal2008	TPM1_Hackettetal2008	
Sturnidae_Lamprotornis_nitens					151336190	151336408		37594843					149729076	151336074							149729186									151336686	151335889		
Passeridae_Erythrura_prasina																					21644805												
Phalacrocoracidae_Phalacrocorax_onslowi	12382945					12382980																											
Petroicidae_Petroica_macrocephala				303305586				86559884													307829179												
Thamnophilidae_Cymbilaimus_sanctaemariae																					299767151												
Muscicapidae_Cossypha_anomala								32442109													317452874												
Fringillidae_Diglossa_major								9972079													9972005												
Picidae_Sasia_africana								94421635						76008380				76008404			99030676												
Picidae_Sphyrapicus_ruber					116877895									85720700				85720721			86278383												
Fringillidae_Sicalis_luteola								21844746													194360167												
Campephagidae_Lalage_leucopyga																		307147435			307147546					307147386							
Cotingidae_Carpornis_melanocephala																												241994073	241994433				
Sylviidae_Phylloscopus_emeiensis	50845275							50845323										62735827															
Timaliidae_Illadopsis_puveli	30840838							30840760					193246153					190360968			194022182	193882361											
Strigidae_Mimizuku_gurneyi	2213724				2213725																												
Psittacidae_Gypopsitta_caica								56277879													56387552												
Fringillidae_Chrysomus_ruficapillus					197254997																												
Certhiidae_Campylorhynchus_chiapensis								67044211																									
Maluridae_Clytomyias_insignis																					294471109												
Turdidae_Brachypteryx_leucophrys								306959111																									
Laridae_Larus_hartlaubii						50727175		199601286													51557639												
Turdidae_Turdus_rufiventris	166707813				197257279			187371429										167369970			58618529	126216132				187481332							
Pycnonotidae_Baeopogon_clamans																		149393563			89213123	89212951				149393661							
Turdidae_Luscinia_luscinia					110287843			165874712							224757937			295001726			165910370					295315424							
Fringillidae_Pseudoleistes_virescens					197256575			6048472													6563135												
Accipitridae_Ictinaetus_malayensis								57165299													66734950							126212463					
Meliphagidae_Meliphaga_fordiana													109139923								109139883												
Certhiidae_Campylorhynchus_turdinus								67044229																									
Hirundinidae_Stelgidopteryx_serripennis					117372563			61189652						62126101							60858262							32481016					
Fringillidae_Chlorochrysa_phoenicotis								38606572													38606718												
Procellariidae_Pterodroma_deserta								3929431																									
Zosteropidae_Zosterops_borbonicus						84374071		84373919														84374211											
Vireonidae_Vireo_solitarius					51101510			3676583													14581545	14581585											
Dendrocolaptidae_Lepidocolaptes_leucogaster								291162916													291162782												
Alcedinidae_Todiramphus_chloris																					74272461	62901783						74272383					
Maluridae_Amytornis_housei					290464612								310947988					310948020			310948047	197621440											
Apterygidae_Apteryx_rowi					169882388	31071932		57235480																									
Furnariidae_Sclerurus_scansor								21805466					126253936					21805590			327242428	327242560				126256403		21805527					
Pycnonotidae_Pyrrhurus_scandens													156753244					149393573								149393675							
Cotingidae_Pipreola_chlorolepidota								94471854																									
Tyrannidae_Tyrannus_dominicensis					116878075	22654710																											
Laridae_Larus_hyperboreus					116877173			213498017																									
Menuridae_Atrichornis_clamosus				149393010																								149393006					
Anatidae_Dendrocygna_guttata	6318718				2735622			6731215																									
Phasianidae_Dendragapus_obscurus	6970167				116876789			6970198													17222811									17222865			
Trochilidae_Coeligena_coeligena								2155196						269999280							164613189		164613358			260159996							
Turdidae_Luscinia_cyane					257155281			71067713																		306959910		34582544					
Trochilidae_Campylopterus_falcatus														269999270							268320880		268320435			268320599							
Pardalotidae_Acanthiza_reguloides								7229372													294471136								289584034				
Malaconotidae_Laniarius_atrococcineus						186461463															163638327												
Apodidae_Collocalia_vanikorensis																					99030180												
Cerylidae_Megaceryle_maxima						156523701												156523723			156523758	156523619						74272359					
Fringillidae_Euphonia_gouldi																					237825102												
Strigidae_Megascops_choliba					197255815																							171919911					
Corvidae_Campephaga_phoenicea				125487222																	125487314												
Charadriidae_Charadrius_falklandicus					197254937			2052297																									
Thamnophilidae_Percnostola_saturata						62824345															62824407	62824469											
Tyrannidae_Elaenia_chiriquensis					159156273			83031318					167781892								83031406	83031230											
Turdidae_Stizorhina_finschi								8925806										306959787								306960027							
Tyrannidae_Myiopagis_gaimardii					159156343								167781910								185862425							241994215	241994575				
Trochilidae_Amazilia_rosenbergi														269999256							268320864		268320417			268320569							
Muscicapidae_Oenanthe_isabellina					110287881			82796715													269115876												
Picidae_Sasia_abnormis					60281103			94421637						76008370				76008392			99030674												
Phasianidae_Gallus_varius			299758039					13516931						156139644	299757401						7648878									156139624	299757942		
Ptilonorhynchidae_Prionodura_newtoniana								501123																									
Alcidae_Cerorhinca_monocerata	190411502				148466803			1255747													125662480							125662368					
Tyrannidae_Muscisaxicola_cinereus					197255947																												
Accipitridae_Leucopternis_schistaceus	76009110					76009195		182895298					281308231	182895060							182895176												
Rhinocryptidae_Teledromas_fuscus																												221063241	221062789				
Trochilidae_Amazilia_tzcatl								256860163																									
Tyrannidae_Casiornis_fuscus					159156543																												
Vireonidae_Hylophilus_poicilotis																												38324399	38324855				
Tyrannidae_Myiodynastes_luteiventris					116877333																							241994211	241994571				
Cisticolidae_Cisticola_anonymus				18845699				218684092													218684122							18845851	38324783				
Psittacidae_Psittacula_calthorpae								291163381																									
Thamnophilidae_Thamnistes_anabatinus								157098296					157098162					51104524			157094435	157098430						221063157	221062937				
Hirundinidae_Hirundo_atrocaerulea					298105613	297557185		61189684						62126157							60858300												
Pittidae_Pitta_brachyura																		113196711															
Fringillidae_Saltator_aurantiirostris					197256687			156072882													156072668												
Phalacrocoracidae_Phalacrocorax_sulcirostris	12382950					12382993																											
Furnariidae_Premnoplex_tatei								308197279						308197373							308197201	308197402											
Laridae_Larus_audouinii								199601260																									
Fringillidae_Piranga_erythrocephala								4102313																									
Thamnophilidae_Hylophylax_poecilinota								157098224													157094363							221063205					
Tyrannidae_Attila_phoenicurus					159156529																												
Corvidae_Coracina_holopolia				125487232																	125487322												
Fringillidae_Geospiza_conirostris								5230556																									
Fringillidae_Ammodramus_aurifrons								219882396													219882478												
